Kategorie: Alle Kategorien

Woche,brexit: (Vereinigtes Königreich)
2018-03-11,10
2018-03-18,12
2018-03-25,10
2018-04-01,8
2018-04-08,7
2018-04-15,8
2018-04-22,9
2018-04-29,11
2018-05-06,9
2018-05-13,9
2018-05-20,10
2018-05-27,9
2018-06-03,11
2018-06-10,14
2018-06-17,15
2018-06-24,14
2018-07-01,15
2018-07-08,24
2018-07-15,21
2018-07-22,18
2018-07-29,16
2018-08-05,16
2018-08-12,13
2018-08-19,17
2018-08-26,14
2018-09-02,15
2018-09-09,18
2018-09-16,25
2018-09-23,23
2018-09-30,22
2018-10-07,20
2018-10-14,32
2018-10-21,24
2018-10-28,20
2018-11-04,22
2018-11-11,69
2018-11-18,36
2018-11-25,41
2018-12-02,39
2018-12-09,59
2018-12-16,38
2018-12-23,20
2018-12-30,25
2019-01-06,42
2019-01-13,100
2019-01-20,48
2019-01-27,50
2019-02-03,41
2019-02-10,40
2019-02-17,43
2019-02-24,41
2019-03-03,30
