sentiment,text,user
"neutral","RT @nickreeves9876: Don't ever let Brexiters get away with claiming #Brexit is patriotic. It isn't. It is driven by networks of money, powe…","TheBrexitPart16"
"negative","RT @Creagh_Dubh: @homelesshorse Yup. We’re farming...and, quite frankly, we’re ****ed. 700 ewes due to lamb in 3 weeks scanned 197%. DEFRA…","Jo_Rodgers"
"neutral","https://t.co/JEmKE3zAtW","ForHackney"
"positive","@jonworth @lukeming is an Irish MEP who supported Brexit but has gotten really quiet about that. I really wouldn’t worry about him.","oranjnail"
"negative","RT @JeremyCliffe: I tweeted this in November 2016 and stand by it. Brexit won't be a moment. It will be a long, slow, Italy-style decline.…","dalejosephrowe"
"positive","RT @davidschneider: Please file under Absolutely Nothing To Do With Brexit alongside Sony, Flybmi, Panasonic, Dyson, Hitachi, Ford, Bank of…","Huggzey"
"positive","@364690 It might surprise you to hear that Germany is aware of the consequences of Brexit and they've been very cle… https://t.co/guMk1X355F","Euqinomist"
"neutral","RT @SethAbramson: Brexit needs a British Bob Mueller ASAP. RT if you agree.","VebaVixen"
"neutral","RT @EuropeFife: BBC News - Brexit 'likely to cause cancer test delays' https://t.co/hKKDkhjHaE","Salisbury4Eur"
"positive","@joswinson Brexit may not mean fewer workers rights (Britain is already at the very bottom in the EU) but fewer soc… https://t.co/wCFpxK0RDu","PeterStill9"
"neutral","RT @krishgm: The polls do not say this. https://t.co/l0Cp6owals","DarwinEsq"
"positive","RT @Jacob_Rees_Mogg: Free trade will improve living standards for all. https://t.co/uXouO4InWM","KarlMGriffiths"
"positive","RT @martaforesti: THREAD 1-Today #MPs have a clear and strong message for #government-and it is not about #Brexit! The #UK cannot continue…","martaforesti"
"neutral","RT @JP_Biz: The Head of the NI Civil Service has sent an updated no-deal Brexit letter to the local parties warning of \"grave\" consequences…","Aoiferosemary"
"positive","@sueperkins @Busiswa @sherman15151573 noone wants job losses even brexiteers all most of us wanted was to be out of… https://t.co/ufIbyySTrd","ScarletzCaptain"
"positive","RT @Peston: Attached is the official position of the official Brexit campaign. Vote Leave said UK would not even start the legal process to…","harrisonmcqueen"
"positive","RT @GeorgeSmid: #EU funding 6 times bigger for East Midlands than Strong Town Fund after #Brexit. From BBC reality check https://t.co/kclTS…","GavThorpeCreate"
"negative","RT @uk_sf_writer: @Nick_Pye @NickRees50 BBC license fee (used to promote anti-#Brexit propaganda).","JimBGuitars"
"positive","If you're not scared about the impact of Brexit on everything we take for granted, then you better check you've got… https://t.co/EX9foM3Goq","Bluesprints"
"negative","RT @StandUp4Brexit: “The car industry is clearly in trouble for all kinds of other reasons... every time a car manufacturer - was it Nissan…","JCCottingham"
"negative","RT @BelTel: #Bombardier 'pressure' on #DUP to back May's #Brexit deal - firm has four factories in Northern Ireland https://t.co/kIICnpvkPj…","redbob999"
"negative","RT @GMB_union: \"History will not be kind to those who risk our rights on a few nods and winks from a lame duck Prime Minister.\" @Tim_Roache…","campbellclaret"
"negative","RT @gavinesler: Police numbers down. Knife crime up. No correlation. Brexit threatens businesses. Businesses leave U.K. or cut back. No cor…","MAEgofrance"
"neutral","RT @MartinRemains: What is Brexit?\n\nIt is theft. Theft of your rights. Theft of your democracy. Theft of your chance for prosperity.\n\nHow d…","SeagullJ"
"neutral","Chances for cooperative Brexit outcome improve, Gilt yields too low -PIMCO's Balls - Nasdaq https://t.co/0WwEOZSXX7","joinkoop"
"negative","@TheNewEuropean @newman_jules1 Nah, I'm not changing my crepe recipe just because of Brexit. Seriously, who buys pa… https://t.co/N59bzxWWWX","skiamakhos"
"positive","RT @MartinDaubney: Oh, look: a no-deal Brexit would mean cheaper imports?  Funny how this is almost the precise opposite of what Remainers…","RogerGrahamD"
"neutral","RT @WernerT_Man: @phoenix_de @guyverhofstadt @The3Million @BritishInEurope @Eu27K @julienfouchet1 @inthebrickhouse @fairvoteuk @Lawyers4EU…","UK4Europe"
"positive","RT @ReginaDo: The Convention on Social Security between Ireland and Great Britain was ratified by Dáil Éireann today which ensures reciproc…","milena_komarova"
"negative","RT @ProfBrianCox: My timeline is currently populated by people who believe that God is Flat, that Darwin supported brexit and that Jesus is…","NewroUgh"
"neutral","RT @Michael_Heaver: No Deal Brexit is taking back control. British government able to act unilaterally, making decisions without EU interfe…","Goldielocks1960"
"neutral","RT @nickreeves9876: Don't ever let Brexiters get away with claiming #Brexit is patriotic. It isn't. It is driven by networks of money, powe…","ethelfleda29"
"negative","RT @instonepo1: Every day I regret my initial leave vote and just when I think I can't feel a worse for falling for the Leave BS I see some…","B1EMW"
