Kategorie: Alle Kategorien

Woche,charlie hebdo: (Frankreich)
2012-01-01,2
2012-01-08,2
2012-01-15,2
2012-01-22,2
2012-01-29,2
2012-02-05,1
2012-02-12,1
2012-02-19,1
2012-02-26,1
2012-03-04,1
2012-03-11,1
2012-03-18,1
2012-03-25,1
2012-04-01,<1
2012-04-08,1
2012-04-15,1
2012-04-22,1
2012-04-29,1
2012-05-06,2
2012-05-13,1
2012-05-20,1
2012-05-27,<1
2012-06-03,1
2012-06-10,<1
2012-06-17,1
2012-06-24,<1
2012-07-01,<1
2012-07-08,<1
2012-07-15,1
2012-07-22,1
2012-07-29,<1
2012-08-05,<1
2012-08-12,1
2012-08-19,<1
2012-08-26,3
2012-09-02,1
2012-09-09,1
2012-09-16,100
2012-09-23,12
2012-09-30,2
2012-10-07,2
2012-10-14,1
2012-10-21,1
2012-10-28,1
2012-11-04,3
2012-11-11,2
2012-11-18,1
2012-11-25,1
2012-12-02,1
2012-12-09,1
2012-12-16,1
2012-12-23,1
2012-12-30,3
