Kategorie: Alle Kategorien

Woche,Obama: (Weltweit)
2007-01-07,1
2007-01-14,3
2007-01-21,3
2007-01-28,2
2007-02-04,2
2007-02-11,3
2007-02-18,2
2007-02-25,1
2007-03-04,1
2007-03-11,1
2007-03-18,1
2007-03-25,1
2007-04-01,1
2007-04-08,1
2007-04-15,1
2007-04-22,1
2007-04-29,1
2007-05-06,1
2007-05-13,1
2007-05-20,1
2007-05-27,1
2007-06-03,1
2007-06-10,1
2007-06-17,1
2007-06-24,1
2007-07-01,1
2007-07-08,1
2007-07-15,1
2007-07-22,1
2007-07-29,1
2007-08-05,1
2007-08-12,1
2007-08-19,1
2007-08-26,1
2007-09-02,1
2007-09-09,1
2007-09-16,1
2007-09-23,1
2007-09-30,1
2007-10-07,1
2007-10-14,1
2007-10-21,1
2007-10-28,1
2007-11-04,1
2007-11-11,1
2007-11-18,1
2007-11-25,1
2007-12-02,2
2007-12-09,2
2007-12-16,2
2007-12-23,1
2007-12-30,7
2008-01-06,12
2008-01-13,5
2008-01-20,5
2008-01-27,12
2008-02-03,17
2008-02-10,15
2008-02-17,14
2008-02-24,13
2008-03-02,11
2008-03-09,8
2008-03-16,11
2008-03-23,7
2008-03-30,6
2008-04-06,5
2008-04-13,6
2008-04-20,7
2008-04-27,6
2008-05-04,7
2008-05-11,7
2008-05-18,7
2008-05-25,5
2008-06-01,13
2008-06-08,8
2008-06-15,7
2008-06-22,6
2008-06-29,5
2008-07-06,6
2008-07-13,7
2008-07-20,8
2008-07-27,7
2008-08-03,6
2008-08-10,6
2008-08-17,11
2008-08-24,22
2008-08-31,16
2008-09-07,15
2008-09-14,13
2008-09-21,14
2008-09-28,15
2008-10-05,21
2008-10-12,23
2008-10-19,26
2008-10-26,38
2008-11-02,100
2008-11-09,29
2008-11-16,16
2008-11-23,10
2008-11-30,10
2008-12-07,9
2008-12-14,7
2008-12-21,7
2008-12-28,6
