date;user;v;a;tweet
03.06.19 08:24;Dunholme;5.72;4.20;"RT @AppleWzzy: @CllrBSilvester @10DowningStreet Ties in with Mrs May flight to Berlin the day before she told cabinet of her ""deal"" at Chequers. Maybe that visit was to learn from Merkel how to bring her cabinet around to her treachery. https://t.co/O5Q7ib29aF"
03.06.19 08:24;tfergpdx;6.68;4.06;RT @cjdrgg: “Cattle producers in the US and other countries use hormones to induce faster, bigger animal growth but they have been banned in the EU since 1989.” https://t.co/DeMzoGFT8V
03.06.19 08:24;eamonn_bennett2;5.46;4.17;@Haggis_UK @joswinson The @LibDems are doing great work re #brexit and simply shouting them down with ‘tuition fees’ doesn’t answer the great points they have made. It reminds me of dayswhereby a dreadful government would have some ac
03.06.19 08:24;SlackyB;6.19;4.10;@Zobyismyname @MsMainstay @Sime0nStylites WHY AREN'T WE TALKING ABOUT THIS. Seriously, if the govt put this forward as an option it'd waltz through Parliament, and although mouth foaming Brexit purists will rage and Remoaner purists will...well, m
03.06.19 08:24;Webberc5Webber;5.48;4.73;RT @eyejosh: @A50Challenge @KimSJ @LaylaMoran I guess you have seen this, Layla https://t.co/GlDpDkPJU1 On the face of it, it would appear that May's A50 Notification was fraudulent because we now know that she KNEW the 2016 leave vote was corrupt and illegal, on 29 March 2017. Do ask May to confirm at PMQs
03.06.19 08:24;BEEnnis;6.31;4.41;RT @WernerT_Man: @nickreeves9876 @dwatchorn @HerveHumbert @LeftUnityUK @AcademyOfRock @haywards_db @johnbulllndn @enablinguk @mrjamesob @J_amesp @guyverhofstadt @thatginamiller @AndrewAtter @VeraJourova @MuslimCouncil @harakha The MCB said it appeared the Tory party considered the rights of minorities “expendable” as it sought support for its Brexit plans from leaders such as Mr Orban. Thew MCB’s statement comes alongside a similar one from the Board of Deputies of British Jews.https://t.co/s7UFbvP6i0
03.06.19 08:24;nowonatalll;5.79;4.12;RT @TheHirstComment: Theresa May .. No Deal is better than a Bad Deal....... Brexit: 'No deal is better than a bad deal' says Theresa May - video | Politics | The Guardian https://t.co/NwnyS4xTmg
03.06.19 08:24;framcca;3.15;5.38;Another shameless liar https://t.co/txqbiIgXdU
03.06.19 08:24;sueyangfx;5.63;4.83;EU-UK end Brexit meeting with no sign of breakthrough ... RTE #S_FX #Forex2019 March 06, 2019 at 08:24AM #ForexFeburary
03.06.19 08:24;SonderIP;6.01;4.10;RT @CITMAuk: What happens to trade marks if the UK leaves the EU on 29th March without a deal? @The_IPO has published new guidance for trade mark owners: https://t.co/4donVyPzjL
