Kategorie: Alle Kategorien

Woche,University of Edinburgh: (Weltweit)
2018-03-11,73
2018-03-18,71
2018-03-25,70
2018-04-01,64
2018-04-08,71
2018-04-15,66
2018-04-22,67
2018-04-29,69
2018-05-06,66
2018-05-13,64
2018-05-20,67
2018-05-27,67
2018-06-03,66
2018-06-10,61
2018-06-17,55
2018-06-24,56
2018-07-01,58
2018-07-08,63
2018-07-15,62
2018-07-22,61
2018-07-29,59
2018-08-05,69
2018-08-12,75
2018-08-19,70
2018-08-26,72
2018-09-02,88
2018-09-09,100
2018-09-16,98
2018-09-23,77
2018-09-30,82
2018-10-07,71
2018-10-14,69
2018-10-21,69
2018-10-28,71
2018-11-04,68
2018-11-11,68
2018-11-18,68
2018-11-25,76
2018-12-02,66
2018-12-09,64
2018-12-16,55
2018-12-23,33
2018-12-30,51
2019-01-06,71
2019-01-13,75
2019-01-20,65
2019-01-27,70
2019-02-03,67
2019-02-10,59
2019-02-17,65
2019-02-24,62
2019-03-03,67
